北京东方国信科技股份有限公司|管连平|010-84866666|investor@bonc.com.cn|www.bonc.com.cn|北京市朝阳区创达三路1号院1号楼7层101|105668.009万|1997-07-28|在业|110105002496292|91110000633027609B|633027609|91110000633027609B|股份有限公司(上市、自然人投资或控股)|2008-06-30至无固定期限|软件和信息技术服务业||2018-11-20|104996.948万|1000-4999人|1977|朝阳分局||Business-intelligence of Oriental Nations Corporation Ltd.|北京市朝阳区创达三路1号院1号楼7层101附近公司|计算机软硬件、机电一体化产品、计算机系统集成的技术开发、技术咨询、技术服务、技术培训、技术转让；销售自行开发后产品、计算机、软件及辅助设备、电子产品、通讯设备、仪器仪表；租赁计算机软硬件；企业策划；信息咨询（中介除外）；市场调查；设计、制作、代理、发布广告；货物进出口、技术进出口、代理进出口；出租办公用房；物业管理；计算机系统服务；合同能源管理；互联网信息服务（不含新闻、出版、教育、医疗保健、药品和医疗器械、电子公告服务）。（企业依法自主选择经营项目，开展经营活动；互联网信息服务以及依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）|北京东方国信科技股份有限公司（以下简称&quot;东方国信公司&quot;）成立于1997年，是信息产业部认定的软件企业和北京市中关村高新技术企业，并通过了ISO9001:2000质量管理体系认证。东方国信公司长期致力于中国国内电信领域的BI（商业智能）、CRM（客户关系管理）、CTI等软件开发、服务与解决方案，拥有多项软件产品专利，是中国联通和中国电信的业务支撑系统的核心合作厂商之一，也是中国铁通业务支撑的三家核心厂商之一。同时，公司在软件外包和业务流程外包方面取得飞速发展，分别在大连和重庆建立软件服务外包基地。2011年01月25日，北京东方国信科技股份有限公司（股票代码：300166，公司简称：东方国信）1月14日发行的1017.6万股A股股票，今日在深圳证券交易所挂牌。
赤峰荣和矿山工程有限公司|孙建民||||内蒙古自治区赤峰市元宝山区平庄秀水怡园D2－2－8|15000万|2019-03-11|存续||91150403MA0Q5TKE9Q|MA0Q5TKE9|91150403MA0Q5TKE9Q|有限责任公司(自然人投资或控股)(1130)|2019-03-11至无固定期限|土木工程建筑业||2019-03-11||||赤峰市元宝山区市场监督管理局|||内蒙古自治区赤峰市元宝山区平庄秀水怡园D2－2－8附近公司|工矿工程建筑；土石方工程；园林绿化工程；矿山配件销售。|
内蒙古万丛汇房地产开发有限公司|谢秀丽||||内蒙古自治区赤峰市元宝山区平庄宝山仕家64#－0－T2－24|15000万|2019-05-13|存续||91150403MA0Q8E2T2F|MA0Q8E2T2|91150403MA0Q8E2T2F|有限责任公司(自然人投资或控股)(1130)|2019-05-13至无固定期限|房地产业||2019-05-13||||赤峰市元宝山区市场监督管理局|||内蒙古自治区赤峰市元宝山区平庄宝山仕家64#－0－T2－24附近公司|房地产开发（凭资质经营）、销售；房屋及建筑设备租赁；广告设计、制作、代理、发布；餐饮服务。|
赤峰王洪民种养殖农民专业合作社|王洪民||||内蒙古自治区赤峰市松山区当铺地满族乡大兴隆庄村|700万|2017-11-30|存续|150404020131086|93150404MA0NN1NM2D|MA0NN1NM2|93150404MA0NN1NM2D|农民专业合作社(9100)|2017-11-30至无固定期限|农业||2018-03-01||||赤峰市松山区市场监督管理局|||内蒙古自治区赤峰市松山区当铺地满族乡大兴隆庄村附近公司|家畜、家禽养殖销售；谷物及其他作物、蔬菜、园艺作物、食用菌、中药材种植销售；为合作社成员购买农机、农机具、农业生产资料、农业机械及零配件；为合作社成员提供农机作业、农副产品深加工、技术咨询、技术指导服务。|
赤峰君安足疗馆|曹立亚||||赤峰市新城区金帝大厦一楼||2010-04-28|吊销|150404600157375||||个体户||居民服务业||2010-04-28||||赤峰市松山区市场监督管理局|||赤峰市新城区金帝大厦一楼附近公司|社会居民服务. (依法须经批准的项目，经相关部门批准后方可开展经营活动)|
赤峰周大金金店|翁如福||||内蒙古自治区赤峰市松山区步行街百合新城小区C座02011厅||2010-11-18|吊销|150404600180092||||个体户||零售业||2010-11-18||||赤峰市松山区市场监督管理局|||内蒙古自治区赤峰市松山区步行街百合新城小区C座02011厅附近公司|金、银、珠宝、饰品销售 (依法须经批准的项目，经相关部门批准后方可开展经营活动)|
赤峰九天建材化工（集团）有限责任公司|李亚凡|0476-8288195|cfjt111@163.com|www.jiutiangroup.com|内蒙古自治区赤峰市新城区八家组团临潢大街南，锦山路西1幢（临潢大街25号）|100000万|2002-03-08|存续|150400000018086|91150404114806360T|114806360|91150404114806360T|其他有限责任公司(1190)|2002-03-08至2035-03-31|非金属矿物制品业||2017-07-21|6584万|小于50人|24|赤峰市松山区市场监督管理局||Chifeng Jiutian Building Materials Chemical Industry(Group)Co.,Ltd.|内蒙古自治区赤峰市新城区八家组团临潢大街南，锦山路西1幢（临潢大街25号）附近公司|许可经营项目：无 一般经营项目：电杆、电石、预拌混凝土、硅铁、白灰、混凝土构件生产、销售；装卸；机动车交易、汽车清洗；房屋租赁；道路普通货物运输；危险货物运输；室内外装饰装潢工程、园林绿化工程、消防工程施工；水电安装、管道维修；生活饮用水集中式供水；水质检验与分析；水表检定、校准和检测；市政工程施工|注册号：****所在地：内蒙古注册资本：6584万人民币元法定代表：李亚凡企业类型：其他有限责任公司登记状态：存续登记机关：赤峰市工商行政管理局松山区分局注册地址：内蒙古自治区赤峰市新城区八家组团临潢大街南，锦山路西1幢（临潢大街25号）
赤峰供销金秋杂粮专业合作社联合社|童祥|15847358385|||赤峰市新城区玉龙大街58号楼供销社501室|2090万|2014-09-18|存续|150404NA001136X|931504043184025795|318402579|931504043184025795|农民专业合作社(9100)||农业||2016-06-24||||赤峰市松山区市场监督管理局|||赤峰市新城区玉龙大街58号楼供销社501室附近公司|许可经营项目：无 一般经营项目：杂粮杂豆种植、产品销售；标准化生产技术培训、品牌策划、申报、市场营销、信息传递、咨询服务|
赤峰和然节能科技股份有限公司|王迎炜|0476-3997881|hrjn2010@163.com|www.cfhrjn.com|内蒙古自治区赤峰市喀喇沁旗牛营子镇（和美工贸产业园区B19幢）|40230万|2010-07-08|存续|150404000021836|91150404558116272G|558116272|91150404558116272G|其他股份有限公司(非上市)(1229)|2010-07-08至无固定期限|科技推广和应用服务业||2019-01-28|40230万|小于50人|30|赤峰市工商管理质量技术监督局|赤峰和然节能技术服务有限责任公司||内蒙古自治区赤峰市喀喇沁旗牛营子镇（和美工贸产业园区B19幢）附近公司|节能技术的研发、推广、咨询；工业余热的回收与再利用（凭资质经营）；热力的生产与供应；城镇供暖投资管理、咨询；节能项目原材料和设备采购、销售；节能设备的运行维护；房地产开发与经营|赤峰和然节能科技股份有限公司于2010年07月08日在赤峰市工商行政管理局登记成立。法定代表人王迎炜，公司经营范围包括许可经营项目：无一般经营项目：节能技术的研发等。
赤峰市畜研所鸡猪技术服务部|李志明|13654765306|hai0476@126.com||内蒙古自治区赤峰市松山区穆家营镇办事处农研居委会||1992-06-13|存续|150404000002896|91150404814900745M|814900745|91150404814900745M|集体经营单位(非法人)(4420)|1992-06-13至无固定期限|畜牧业||2016-10-10||小于50人|11|赤峰市松山区市场监督管理局||Chifeng Chuyan Office Jizhu Technology Service Department|内蒙古自治区赤峰市松山区穆家营镇办事处农研居委会附近公司|许可经营项目：无 一般经营项目：饲料加工；种鸡养殖及孵化；饲料、饲料原料、养鸡设备、蛋鸡、禽蛋、雏鸡、粪肥销售。养鸡、养猪技术服务。（国家法律法规规定及国务院决定应经审批的未获审批前不得生产经营）|
赤峰宇佳面粉厂|冯龙||||内蒙古自治区赤峰市松山区当铺地满族乡关家营村六组||2007-05-17|吊销|150404600086517||||个体户||农副食品加工业||2008-06-07||||赤峰市松山区市场监督管理局|||内蒙古自治区赤峰市松山区当铺地满族乡关家营村六组附近公司|面粉、挂面加工销售，粮油购销(食品卫生许可证有效期至2012年6月4日) (依法须经批准的项目，经相关部门批准后方可开展经营活动)|
赤峰会军建筑器材租赁站|李国会||||内蒙古自治区赤峰市帅旗农药厂后面||2008-04-18|吊销|150404600067172||||个体户||租赁业||2011-05-17||||赤峰市松山区市场监督管理局|||内蒙古自治区赤峰市帅旗农药厂后面附近公司|架子管、扣件、木跳板出租、丝杠出租、建筑器材出租服务；人造板销售。 (依法须经批准的项目，经相关部门批准后方可开展经营活动)|
内蒙古久岩隆建筑工程有限公司|那树林||||内蒙古自治区赤峰市松山区广场路东侧商贸小区综合楼1-218室|100000万|2018-10-11|存续||91150404MA0Q1NP67K|MA0Q1NP67|91150404MA0Q1NP67K|有限责任公司(自然人投资或控股)(1130)|2018-10-11至无固定期限|房屋建筑业||2018-10-11||||赤峰市松山区市场监督管理局|||内蒙古自治区赤峰市松山区广场路东侧商贸小区综合楼1-218室附近公司|房屋建筑工程、市政公用工程、土石方工程、建筑装修修饰工程、桥梁隧道工程、机电设备安装工程、钢结构工程、公路路基工程、公路工程、水利水电工程、消防设施工程、地基与基础工程、体育场地设施工程、环保工程、智能化安装工程施工服务；建筑设备租赁服务；经销五金、交电、建筑材料、装饰材料、日用品、农副产品。|
赤峰中昊运输有限责任公司|王建军|8420632|1447718989@qq.com|www.cfzhjt.cn|内蒙古自治区赤峰市松山区松山大街路北京通铁路东|4413万|2002-07-01|存续|150400000011298|911504041147901781|114790178|911504041147901781|有限责任公司(自然人独资)(1151)|2002-07-01至无固定期限|道路运输业||2018-04-24|4413万|100-499人|467|赤峰市松山区市场监督管理局||Chifeng Zhonghao Conveyance Co.,Ltd.|内蒙古自治区赤峰市松山区松山大街路北京通铁路东附近公司|许可经营项目：驾驶员培训（分支机构经营）；保险兼业代理（凭许可证在有效期内经营）。旗县内、旗县际、盟市际、省际班车客运、包车客运；一类机动车维修（大中型客车维修、大中型货车维修、小型车辆维修、危险货物车辆维修）；客运站经营；货运站经营；普通货物运输、货物专用运输（集装箱、冷藏保鲜、罐式）、大型物件运输（二类）； 一般经营项目：汽车租赁、后勤管理服务、会议会展服务、商务服务；汽车（不含品牌汽车）及配件、润滑油、电子产品销售；机械加工；信息服务；房屋出租；仓储；停车场；广告设计、代理、制作、发布。店堂建筑物控制地带出租|公司前身是成立于1949 年的原国营赤峰汽车运输总公司,2002 年,根据赤经贸字&lt;2002&gt;3 号&lt;关于赤峰汽车运输总公司转制为赤峰中昊运输有限责任公司登记注册的意见&gt;,公司转制成为赤峰中昊运输有限责任公司。
赤峰三川矿业集团有限公司|温新力|0476-5898393|383721715@qq.com||内蒙古自治区赤峰市新城区玉龙大街以南生产科研综合楼|5000万|2007-06-22|存续|150400000015300|911504046609998688|660999868|911504046609998688|其他有限责任公司(1190)|2007-06-22至2022-12-31|批发业||2016-07-14|5000万|||赤峰市松山区市场监督管理局|赤峰三川矿业有限公司||内蒙古自治区赤峰市新城区玉龙大街以南生产科研综合楼附近公司|矿产品、矿山机械设备销售；矿业技术咨询；投资管理|赤峰三川矿业集团有限公司成立于2007年06月22日，主要经营范围为矿产品、矿山机械设备销售等。
内蒙古江汇永泰商混建设工程有限公司|陈国荣||||内蒙古自治区赤峰市松山区御园峰会A座-2-2-410|80000万|2018-06-08|存续|150404020600073|91150404MA0PWW0W35|MA0PWW0W3|91150404MA0PWW0W35|有限责任公司(自然人投资或控股)(1130)|2018-06-08至无固定期限|房屋建筑业||2018-06-08||||赤峰市松山区市场监督管理局|||内蒙古自治区赤峰市松山区御园峰会A座-2-2-410附近公司|建筑工程、市政公用工程、公路工程、水利水电工程、电力工程、机电工程、地基基础工程、钢结构工程、环保工程、电气安装工程、管道和设备安装工程、河湖整治工程、建筑装修装饰工程、桥梁工程、隧道工程、建筑幕墙工程、消防工程、土石方工程、铁路工程、港口与航道工程、矿山工程、冶金工程、园林绿化工程设计、施工；起重设备安装服务、提供施工设备服务、土地整理、地质灾害治理服务；劳务分包、施工总承包；商品混凝土生产、加工、销售；普通货运、货物专用运输（罐式）；碎石开采、加工、销售；河沙开采、销售；建材销售。|
内蒙古兴通投资集团有限责任公司|魏广和|15849978394|1012644696@qq.com||内蒙古自治区赤峰市新城区金帝大厦A-C座080611|70000万|2012-02-22|存续|150400000027051|911504045888350599|588835059|911504045888350599|有限责任公司(自然人投资或控股)(1130)|2012-02-22至2032-02-21|商务服务业||2016-12-29|50000万|||赤峰市松山区市场监督管理局|内蒙古兴通投资有限责任公司||内蒙古自治区赤峰市新城区金帝大厦A-C座080611附近公司|投资与经营管理|
松山区牛武粗饲料加工厂|牛长武||||内蒙古自治区赤峰市松山区当铺地乡关家营村四组||2007-01-12|注销|150404600045000||||个体工商户||农副食品加工业||2018-10-29||||赤峰市松山区市场监督管理局|||内蒙古自治区赤峰市松山区当铺地乡关家营村四组附近公司|粗饲料加工,肉牛养殖|
赤峰万盛建筑劳务有限公司|陈玉民|15647629879|||内蒙古自治区赤峰市松山区金御华府B区45-2-02202|60000万|2018-04-25|存续|150404020475944|91150404MA0PU3C245|MA0PU3C24|91150404MA0PU3C245|有限责任公司(自然人独资)(1151)|2018-04-25至无固定期限|房屋建筑业||2018-04-25||||赤峰市松山区市场监督管理局|||内蒙古自治区赤峰市松山区金御华府B区45-2-02202附近公司|建筑劳务；房屋建筑工程、消防工程、市政公用工程、公路工程、铁路路基工程、土石方工程、矿山开采工程、水利水电工程、建筑装修装饰工程、建筑幕墙工程、钢结构工程、城市园林绿化工程施工；普通货物道路运输。|
赤峰鸿运金建筑工程有限公司|张晓龙|8436633|13947670937@163.com||内蒙古自治区赤峰市松山区八家组团天义路东、应昌街北综合办公楼01051|58000万|2017-06-22|存续||91150404MA0NDQ8Y9K|MA0NDQ8Y9|91150404MA0NDQ8Y9K|有限责任公司(自然人投资或控股)(1130)|2017-06-22至无固定期限|房屋建筑业||2018-11-29||||赤峰市松山区市场监督管理局|赤峰亿金源园林景观工程有限公司||内蒙古自治区赤峰市松山区八家组团天义路东、应昌街北综合办公楼01051附近公司|许可经营项目：无 一般经营项目：建筑工程、土石方工程、电力工程、园林绿化工程、水利水电工程、市政公用工程、公路工程；电气安装、矿山设备安装、机电设备安装、门窗制作安装；建筑劳务分包。|
赤峰典都装饰材料门市|于庆海||||内蒙古自治区赤峰市松山区桥西大街工商局西侧|50000万|2008-04-24|吊销|150404600071144||||个体户|2008-04-24至2011-12-31|批发业||2008-04-24||||赤峰市松山区市场监督管理局|||内蒙古自治区赤峰市松山区桥西大街工商局西侧附近公司|装饰材料销售。 (依法须经批准的项目，经相关部门批准后方可开展经营活动)|
赤峰市松山区静思招待所|徐宝华||||内蒙古自治区赤峰市松山区芳草路下洼子二组||2009-05-21|吊销|150404600122028||||个体户||住宿业||2012-03-21||||赤峰市松山区市场监督管理局|||内蒙古自治区赤峰市松山区芳草路下洼子二组附近公司|旅客住宿。 (依法须经批准的项目，经相关部门批准后方可开展经营活动)|
赤峰济慈康复器材厂|李海凤||||内蒙古自治区赤峰市王府花园小区30号楼1011侧厅||2010-08-05|吊销|150404600168800||||个体户||零售业||2010-08-05||||赤峰市松山区市场监督管理局|||内蒙古自治区赤峰市王府花园小区30号楼1011侧厅附近公司|残疾人用品、用具销售。 (依法须经批准的项目，经相关部门批准后方可开展经营活动)|
阿鲁科尔沁旗马产业联合专业合作社|希尼巴雅尔|13847606176|||阿鲁科尔沁旗新城区供销合作社办公楼|14219.73万|2014-04-14|注销|150421NA001290X|9315042109690533XU|09690533X|9315042109690533XU|农民专业合作社(9100)||畜牧业||2017-06-30||||阿鲁科尔沁旗工商行政管理局|||阿鲁科尔沁旗新城区供销合作社办公楼附近公司|培育速马及马奶、马血、马奶酒、民族马传统产业；旅游文化|
赤峰元易生物质科技有限责任公司|陈立东|0476-8478019|280361953@qq.com||阿鲁科尔沁旗天山镇新能源产业园区|41025万|2012-07-20|存续|150421000011623|91150421050559814T|050559814|91150421050559814T|其他有限责任公司(1190)|2012-07-20至2042-07-19|燃气生产和供应业||2019-03-19|40375万|50-99人|92|赤峰市工商管理质量技术监督局|||阿鲁科尔沁旗天山镇新能源产业园区附近公司|许可经营项目：无 一般经营项目：沼气及生物天然气企业和产业化项目的投资、建设与运营；生物二氧化碳的投资、开发、生产、经营和销售；复混肥料、有机肥料及微生物肥料的生产与销售；燃气输配管网、场站的投资、建设与运营；汽车加气站及工业用气管网投资、建设与运营；燃气具销售；危险品运输；自营和代理各类商品和技术的进出口业务；畜禽粪污处理活动；其他畜牧专业及辅助性活动。|
阿鲁科尔沁旗巴拉奇如德供销加油站|邹吉明|15049961818|zouderan1818@163.com||阿鲁科尔沁旗巴拉奇如德苏木|12万|2008-10-09|存续|150421000001777|911504215817908710|581790871|911504215817908710|个人独资企业(4540)||批发业||2016-10-25||||阿鲁科尔沁旗工商行政管理局|||阿鲁科尔沁旗巴拉奇如德苏木附近公司|柴油、汽油、机油、刹车油、防冻剂、黄油；三轮、四轮、摩托车配件、三角带；各种螺丝、五金、交电、日杂用品、日用百货|
内蒙古北疆游牧草原多产业发展有限公司|张永军|13789592881|||内蒙古自治区赤峰市阿鲁科尔沁旗天山镇君悦大酒店|50000万|2018-10-22|存续||91150421MA0Q20XM1Y|MA0Q20XM1|91150421MA0Q20XM1Y|其他有限责任公司(1190)|2018-10-22至无固定期限|商务服务业||2018-10-22||||阿鲁科尔沁旗工商行政管理局|内蒙古北疆游牧草原产业发展有限公司||内蒙古自治区赤峰市阿鲁科尔沁旗天山镇君悦大酒店附近公司|游牧草原生态系统和修复工程；游牧草原多产业环保标准化基础设施建设；游牧生产牛羊及畜产品就地统一优价收购、加工、仓储、销售；物流园区建设；全域四季特色旅游产业开发、景区景点硬软件配套建设；智能旅游服务中心、自驾车房地营地、直升机低空观光旅游基地、游牧文化博物园建设；牧家乐休闲、体验、度假、养生旅游园区建设；草业经济、林下经济、游牧工艺品开发、举办草原文化各类节庆活动、研发游牧旅游特色纪念品；矿产、土石方工程|
阿鲁科尔沁旗蒙鑫源草牧业生产专业合作社联合社|赛音敖其拉图|15248651117|||阿鲁科尔沁旗绍根镇绍根嘎查|500万|2016-12-27|注销|150421NA001752X|93150421MA0N33YD5T|MA0N33YD5|93150421MA0N33YD5T|农民专业合作社(9100)||畜牧业||2019-03-07||||阿鲁科尔沁旗工商行政管理局|||阿鲁科尔沁旗绍根镇绍根嘎查附近公司|畜牧业产业化经营、畜产品开发及购销、农产品种植及销售；农机作业、农机服务、生态服务、生态治理；机械施工、民建、房屋维修、土地平整；种草、护坡|
赤峰绿丰源农牧业开发有限公司|张魁元|15048389225|52813188@qq.com||赤峰市阿鲁科尔沁旗新民乡东沟村村北50米处|8000万|2014-03-21|存续|150421000018070|91150421095941304D|095941304|91150421095941304D|有限责任公司(自然人投资或控股)(1130)|2014-03-21至无固定期限|农、林、牧、渔服务业||2017-07-03|3000万|||阿鲁科尔沁旗工商行政管理局|||赤峰市阿鲁科尔沁旗新民乡东沟村村北50米处附近公司|许可经营项目：无 一般经营项目：农牧林项目、畜牧产业化经营、牧草种植林果种植、沙源土地生态治理、土地综合治理工程施工及节水工程施工；预包装、散装食品生产销售；农产品初加工、粮食收购、储存及销售；农业种植|
阿鲁科尔沁旗晟承城乡建设发展有限公司|邰英方|15048381217|3037713213@qq.com||内蒙古自治区赤峰市阿鲁科尔沁旗天山路南段路西南桥北|30000万|2018-02-02|存续|150421020288953|91150421MA0PQJEC07|MA0PQJEC0|91150421MA0PQJEC07|其他有限责任公司(1190)|2018-02-02至无固定期限|房地产业||2018-02-02||||阿鲁科尔沁旗工商行政管理局|||内蒙古自治区赤峰市阿鲁科尔沁旗天山路南段路西南桥北附近公司|城乡基础设施投资建设管理、城乡公用事业投资运营、保障性安居工程投建设管理、地产开发、城乡物业管理、新能源开发利用|
阿鲁科尔沁旗天山矿业开发有限责任公司|刘和峰|7230602|aqgtj@163.com||阿鲁科尔沁旗天山镇汉林西街路北|8061万|2004-07-02|存续|150421000003125|91150421761097492H|761097492|91150421761097492H|有限责任公司(国有控股)(1140)|2004-07-02至无固定期限|批发业||2016-04-12|8061万|||阿鲁科尔沁旗工商行政管理局|内蒙古赤峰市阿鲁科尔沁旗天山矿业开发有限责任公司|Ar Horqin Qi Tianshan Mining Industry Development Co.,Ltd.|阿鲁科尔沁旗天山镇汉林西街路北附近公司|许可经营项目：金属、非金属矿产资源勘探 一般经营项目：无|
阿鲁科尔沁旗天泽农牧业有限公司|郑海明|15849642820|643233305@qq.com||阿鲁科尔沁旗绍根镇呼和格日嘎查|20000万|2012-03-22|存续|150421000010421|91150421591973946F|591973946|91150421591973946F|有限责任公司（非自然人投资或控股的法人独资）(1153)|2012-03-22至无固定期限|农业||2018-11-29|1100万|||阿鲁科尔沁旗工商行政管理局|||阿鲁科尔沁旗绍根镇呼和格日嘎查附近公司|许可经营项目：无 一般经营项目：新能源电力开发、建设、运营；光电技术开发、技术推广和投资管理；机械服务；信息服务；农牧业产业化经营；牧草、农产品种植、加工、销售、流通；牛羊养殖、销售；粮食化肥购销；农副产品加工销售、农畜土特商品经营|
内蒙古众惠投资发展有限公司|李海生|0476-7270051|||阿鲁科尔沁旗天元大街与集通路交汇处|100000万|2015-08-26|存续|150421000027630|9115042135311824XD|35311824X|9115042135311824XD|有限责任公司（非自然人投资或控股的法人独资）(1153)|2015-08-26至无固定期限|商务服务业||2016-05-06||||阿鲁科尔沁旗工商行政管理局|||阿鲁科尔沁旗天元大街与集通路交汇处附近公司|许可经营项目：无 一般经营项目：城乡基础设施和公用事业投资、建设与运营；旅游开发与运营；矿业开发与运营；农牧林水开发与运营；路桥投资、建设与运营；给排水、治污系统投资、建设与运营；文体、酒店、餐饮管理与运营|
阿鲁科尔沁旗乡哥哥农业发展有限公司|任雪丰|13947601273|962985439@qq.com||阿鲁科尔沁旗乌兰哈达乡杏树村|50万|2016-04-19|存续|150421000032735|91150421MA0MXHK354|MA0MXHK35|91150421MA0MXHK354|有限责任公司(自然人投资或控股)(1130)|2016-04-19至无固定期限|畜牧业||2016-04-19||||阿鲁科尔沁旗工商行政管理局|||阿鲁科尔沁旗乌兰哈达乡杏树村附近公司|许可经营项目：无 一般经营项目：预包装食品(含冷冻冷藏、不含熟食卤味、凭许可证经营）批发；非实物方式、食用农产品（除生猪产品）销售|阿鲁科尔沁旗乡哥哥农业发展有限公司是一家集绿色无公害种植及畜禽养殖销售为一体的全面发展性公司，主要从事绿色粗粮种植加工，散养笨鸡，猪，牛羊等畜禽，公司位于内蒙古赤峰市属于中温带半旱大陆性季风气候区，是发展杂粮种植，畜禽养殖的好地方，随着政策的实施，大力发展农业畜禽养殖是区域经济的重要组成部分。公司通过多年的发展现拥有专业技术人才和丰富的生产种植经验，公司将致力于传统老品种农产品传承 、种植、推广、销售为一体的新型现代农业高科技企业。
内蒙古京九太阳能电力有限公司|林九思|15905177774|liujiusi@163.com||阿鲁科尔沁旗天山镇赛罕家园大厅|1000万|2016-03-21|存续|150421000031775|91150421MA0MX7PD1G|MA0MX7PD1|91150421MA0MX7PD1G|有限责任公司（非自然人投资或控股的法人独资）(1153)|2016-03-21至无固定期限|电力、热力生产和供应业||2016-03-21||||阿鲁科尔沁旗工商行政管理局|||阿鲁科尔沁旗天山镇赛罕家园大厅附近公司|太阳能发电的投资开发|
内蒙古光大实业有限公司|胡旭光|0476-7270000|79198372@pp.com||阿鲁科尔沁旗工业园区|2000万|2008-02-22|存续|150421000011998|911504216706715326|670671532|911504216706715326|有限责任公司(自然人投资或控股)(1130)|2008-02-22至无固定期限|农副食品加工业||2018-02-05|200万|||阿鲁科尔沁旗工商行政管理局|赤峰市光大实业有限公司|Chifeng Guangda Stall Food Co.,Ltd.|阿鲁科尔沁旗工业园区附近公司|许可经营项目：无 一般经营项目：肉牛羊生态养殖、饲草种植；种植养殖互联网平台服务、生物饲草深加工、生物秸杆转化、农牧业循环经济利用、饲料生产加工销售、生物菌种生产销售、畜产品深加工销售、有机肥生产加工销售、旅游产业开发、休闲观光、农牧业及餐饮业、普通道路货物运输|
内蒙古绿田园农业有限公司|张仁武|0476-7276434|nmglvty@163.com||阿鲁科尔沁旗绍根镇温都包嘎查|4600万|2004-04-07|存续|150421000032366|91150421MA0MXEDT54|MA0MXEDT5|91150421MA0MXEDT54|有限责任公司(自然人投资或控股)(1130)|2004-04-07至无固定期限|批发业||2018-01-12|4600万|||阿鲁科尔沁旗工商行政管理局|赤峰山川兴业科技有限公司||阿鲁科尔沁旗绍根镇温都包嘎查附近公司|许可经营项目：肉食品加工、销售； 一般经营项目：牧草生产、种植、加工、贸易、销售；技术开发、货物进出口、技术进出口、代理进出口；销售定型包装食品、含乳冻食品、粮食、饲料、化肥；畜牧养殖、家禽家畜销售；农业技术咨询、服务、推广及培训；土地租赁、转让、托管；农机设备租赁、农业机械作业服务；农、林、牧、渔项目服务；旅游项目开发及服务|
内蒙古中瀛天山能源开发有限公司|密春雷|7271980|||内蒙古赤峰市阿鲁科尔沁旗天山镇汉林路中段路南|20000万|2006-07-11|存续|150421000000692|91150421790167808W|790167808|91150421790167808W|其他有限责任公司(1190)|2006-07-11至2026-07-10|批发业||2018-04-19|20000万|小于50人|4|阿鲁科尔沁旗工商行政管理局||Inner Mongolia Zhongying Tianshan Energy Development Co.,Ltd.|内蒙古赤峰市阿鲁科尔沁旗天山镇汉林路中段路南附近公司|法律、法规禁止的不得经营；应经审批的未获审批前不得经营；法律、法规未规定审批的，企业自主选择经营项目，开展经营活动|
赤峰市利民农牧联合社|侯玉有|15391243336|jone_sm@qq.com||赤峰市阿鲁科尔沁旗新民乡扫帚包村|1319万|2013-12-31|存续|150421NA000919X|93150421089598415N|089598415|93150421089598415N|农民专业合作社(9100)||农、林、牧、渔服务业||2018-12-05||||阿鲁科尔沁旗工商行政管理局|||赤峰市阿鲁科尔沁旗新民乡扫帚包村附近公司|种植、农牧业产业化经营、农机服务、粮食加工销售、企业服务性管理|
阿鲁科尔沁旗哲仁泰马文化产业专业合作社|希尼巴雅尔|13848977100|||阿鲁科尔沁旗巴拉奇如德苏木|1700万|2014-03-08|存续|150421NA001126X|93150421093252142A|093252142|93150421093252142A|农民专业合作社(9100)||畜牧业||2016-06-24||||阿鲁科尔沁旗工商行政管理局|||阿鲁科尔沁旗巴拉奇如德苏木附近公司|许可经营项目：无 一般经营项目：马文化、马产业经营；畜牧业产业化经营、种草、农产品种植；农机作业、农机服务；养殖|
内蒙古蒙元旅游传媒集团商务有限公司|嗒那|13113573998|||阿鲁科尔沁旗天山镇集通路东天元大街北天元巷2－35号|3000万|2012-06-01|存续|150421000011256|91150421597313826Y|597313826|91150421597313826Y|有限责任公司(自然人投资或控股)(1130)|2012-06-01至无固定期限|商务服务业||2019-04-19|4.5万|||阿鲁科尔沁旗工商行政管理局|阿鲁科尔沁旗蒙元商务有限公司||阿鲁科尔沁旗天山镇集通路东天元大街北天元巷2－35号附近公司|许可经营项目：无 一般经营项目：商务宾馆、酒店宾馆用品经营；企业投资管理、实业投资、物业管理；商务考察会议接待、工业农牧业考察、会议包车；代理机票、火车票、代办护照、签证；预订各地酒店；庆典礼仪人员培训、会务服务、网络科技、美化亮化清洁工程；电子商务|
赤峰东昊市政建设投资有限责任公司|代云军|15124911686|||阿鲁科尔沁旗天山镇汉林西街北益民路西|12227万|2017-09-15|存续|150421000045909|91150421MA0NJ76C7Y|MA0NJ76C7|91150421MA0NJ76C7Y|其他有限责任公司(1190)|2017-09-15至无固定期限|商务服务业||2019-05-17|10882万|||阿鲁科尔沁旗工商行政管理局|||阿鲁科尔沁旗天山镇汉林西街北益民路西附近公司|许可经营项目：无 一般经营项目：市政公用工程、水利工程建设投资；市政公用工程管理与养护；专业停车场服务；市政道路沿线广告制作、广告发布|
