2019年中国电子书阅读器市场分析报告-市场现状调查与发展商机研究|-|七、凭借内容优势方正大肆进军电子书终端市场 八、方正电子书阅读器市场的制胜战略 第三节 大唐电信科技股份有限公司 一、企业概况 二、企业主要经济指标分析 三、企业盈利能力分析 四|-|中国报告网|-|20小时23分钟前|-|https://news.tianyancha.com/detail/95f0cb412810449ace5907a403862fbb0ee1ea0b.html
缩量反弹，后市怎么做|-|中国软件和士兰微涨停，带起板块，不过这类适合走趋势，跌下去低吸，追高接力的性价比一般；中芯概念股，大唐电信、华虹计通等涨停，但是今天才是最佳买点；这个板块后市还会反复|-|微信公众号|-|2019年05月27日|-|https://news.tianyancha.com/detail/9e2736797a4a4ced616261959b427721a350e4ed.html
每日八张图纵览A股：这波A股反弹能持续多久？短期有效反弹需满足3个条件！|-|半导体、5G、集成电路等板块携手做多，概念股掀起涨停潮。截止收盘，在国产芯片板块之中，士兰微、大唐电信、江化微、有研新材、富满电子、远望谷、长电科技等二十余只个股涨停。 行业板块涨幅榜前十|-|东方财富网|-|2019年05月27日|-|https://news.tianyancha.com/detail/0636dc7f9db36e165b2ab1e2cf5b9593f2ab6a18.html
复盘：农牧计算机领涨两市狙击106只涨停股（名单）|-|1| 600206.SH| 有研新材| 金属非金属新材料| 1| 稀土永磁 600198.SH| 大唐电信| 通信设备| 1| 600171.SH| 上海贝岭| 半导体| 1| 国产芯片|-|东方财富网|-|2019年05月27日|-|https://news.tianyancha.com/detail/30a417545b532a549ed58c30ba7b0215bcea3a41.html
涨停股复盘：11股封单超亿元|-|| 17.02 | 0.35 | 870.31 | 14812.61 | 化工 600198 | 大唐电信 | 13.15 | 1.89 | 931.56 | 12250.00 | 通信|-|证券时报网|-|2019年05月27日|-|https://news.tianyancha.com/detail/9b0333bf9287ec2b8b92dce69b5834aed22652e6.html
百瑞赢：券商带动题材股全面开花创业板指大涨3%|-|大盘出现反攻态势。午后涨幅扩大，概念股全面开花。集成电路、芯片、华为概念等科技股涨幅居前，大唐电信、太极实业等数十股涨停。银行、白酒、汽车涨幅居后。 截止收盘，上证指数报收2892.46点|-|东方财富网|-|2019年05月27日|-|https://news.tianyancha.com/detail/cc64e11a07563c5d6e5ed50134ad161440a99de6.html
5月27日市场观察|-|两市3417家个股上涨，155家个股下跌。 芯片、国产软件、操作系统概念股开盘涨幅居前。大唐电信、三安光电、太极实业、士兰微、长电科技、中国软件等30多家个股涨停。 券商股午盘前大幅上攻|-|微信公众号|-|2019年05月27日|-|https://news.tianyancha.com/detail/88474eaba34e989c316bf45e911b2f84a990beb1.html
探底回升，有肉吃|-|盘面赚钱效应好，控制仓位下参与，总体属于防守阶段。 3、 盘面主线* 主线1：中芯国际概念股大唐电信、长电科技、晶瑞股份、江化微、有研新材、飞凯材料涨停，带动芯片反弹，康强电子、光力科技|-|微信公众号|-|2019年05月27日|-|https://news.tianyancha.com/detail/ed7291070a38802fdc46f00caff61f286c1be751.html
钱坤投资：底部区域要差价还是要红利？|-|芯片、半导体、5G等板块进入涨幅前列，智光电气、大唐电信等多只个股涨停，稀土永磁这种中国有资源与加工有产业优势的板块还在继续走强。猪肉板块再次起动|-|东方财富网|-|2019年05月27日|-|https://news.tianyancha.com/detail/c572c7bde661c422dacd503d048e09895c2352dd.html
百股涨停！周二重磅大事要发生！|-|叠加港股中芯国际大涨10%的刺激，早盘国产芯片概念大幅拉升，长电科技和大唐电信作为板块中军率先封板，康强电子高位完成反包板，力源信息超跌反弹板，富满电子|-|微信公众号|-|2019年05月27日|-|https://news.tianyancha.com/detail/11b7b59df4f7453fa9d4da59e576891f64adafad.html
收评：创指暴涨逾3%沪指涨1.3%行业板块全线上涨|-|热点板块： 芯片概念股上演涨停潮，全天领涨两市，智光电气、华虹计通、兴森科技、跃岭股份、太极实业、大唐电信、三安光电、中海达、光力科技、江化微、有研新材、富满电子等个股涨停。 券商股盘中强势崛起|-|证券日报网|-|2019年05月27日|-|https://news.tianyancha.com/detail/2d16e171f40886726d55a55a83ec6ac9170aa1ef.html
券商板块午后持续走强沪指涨逾1%|-|长电科技等涨停 27日，集成电路板块早盘全线拉升。截至9:40，富满电子、长电科技、晶瑞股份、大唐电信涨停，康强电子、士兰微等涨逾5%。 两市开盘涨跌互现 养殖板块表现强势 周一|-|中国证券网|-|2019年05月27日|-|https://news.tianyancha.com/detail/d3cd25f9fca818c8b9bdf4e84c9a61b8a8018312.html
徐州经验之生态文明建设篇：从“一城煤灰半城土”到“一城青山半城湖”|-|空气质量改善幅度江苏省最大。伴随着“生态名片”越来越靓，徐州市吸引了微软、IBM、大唐电信、甲骨文等一大批知名企业前来布局。 焦作日报全媒体记者 张蕊/文 刘金元/图|-|微信公众号|-|2019年05月27日|-|https://news.tianyancha.com/detail/b8c792ef8939ac73271795a71ca77b1ca50e5a6b.html
沪深两市盘初出现一波急拉走势又急速冲高回落|-|半导体、5G、集成电路等板块携手做多，概念股掀起涨停潮。截止午间收盘，在国产芯片板块之中，大唐电信、江化微、有研新材、富满电子、远望谷、长电科技等个股涨停。 消息面上，据人民日报报道，|-|中国投资咨询网|-|2019年05月27日|-|https://news.tianyancha.com/detail/e549d3cfd1a6441d8deef4b552ef667267dd0fe0.html
唐能通：大盘还有最后一跌吗？|-|创业板指涨逾1%，国产芯片概念掀涨停潮，大唐电信等多股涨停。券商股盘中快速拉升，天风证券涨停。此外，稀土永磁、国产软件等板块也涨幅居前。酿酒、ST、保险等板块领跌。截至午盘|-|微信公众号|-|2019年05月27日|-|https://news.tianyancha.com/detail/9f363a5d02910b5596eeabb7086414fcca54a1ff.html
芯片概念27日盘中大幅拉升华微电子逼近涨停|-|截至发稿，大唐电信、光力科技、江化微、富满电子、康强电子、远望谷、聚灿光电、长电科技、欧比特、力源信息、跃岭股份等涨停，华微电子逼近涨停。 在美国将华为列入实体名单后|-|中国投资咨询网|-|2019年05月27日|-|https://news.tianyancha.com/detail/9b1f3d42ff3cb6ca4ddf0423f447371768a1ec29.html
科技股成A股市场亮点！国产芯片、半导体、5G等板块携手做多|-|半导体、5G、集成电路等板块携手做多，概念股掀起涨停潮。截止午间收盘，在国产芯片板块之中，大唐电信、江化微、有研新材、富满电子、远望谷、长电科技等个股涨停。 今日（5月27日|-|东方财富网|-|2019年05月27日|-|https://news.tianyancha.com/detail/eab1a7cd76436e32fc9b7e91e7305e16a8f86109.html
巨丰投顾：大盘技术性回调遭遇突发黑天鹅事件而步入中期调整|-|高抛低吸为主，重点关注超跌绩优低价股和券商股。 【板块方面】 国产芯片板块拉升，奥维通信、大唐电信、富满电子、力源信息、江化微、晶瑞股份、远望谷、长电科技、汉威科技等涨停。 【消息面】 1|-|中国投资咨询网|-|2019年05月27日|-|https://news.tianyancha.com/detail/7bdcc8e328339780356d7f6436dc086664afe8bf.html
IntertrafficChina2019盛大开幕！|-|上海宝康、金溢、华日升、道明光学、河北驰野、兄弟路标、河南天途、福克曼、盛汇光学、中通服创发、大唐电信、安徽科力、世纪高通、中航电测、上海眼控、36所、南京莱斯、航天华拓、哈工大、中威电子|-|微信公众号|-|2019年05月27日|-|https://news.tianyancha.com/detail/3ab362141ce2995639507b42747011d4f7721551.html
三大股指宽幅震荡券商板块发力护盘|-|长电科技等涨停 27日，集成电路板块早盘全线拉升。截至9:40，富满电子、长电科技、晶瑞股份、大唐电信涨停，康强电子、士兰微等涨逾5%。 两市开盘涨跌互现 养殖板块表现强势 周一|-|中国证券网|-|2019年05月27日|-|https://news.tianyancha.com/detail/e15ecb55f6db24676fe06034326ec66d5a848975.html
巨丰投顾：科技股集体反弹券商股异动指引市场方向|-|高抛低吸为主，重点关注超跌绩优低价股和券商股。 【* 板块方面】** 国产芯片板块拉升，奥维通信、大唐电信、富满电子、力源信息、江化微、晶瑞股份、远望谷、长电科技、汉威科技等涨停。 【消息面】 1|-|东方财富网|-|2019年05月27日|-|https://news.tianyancha.com/detail/1428b5cc666e0bfeb2979906d7c0ffda46c7c4bb.html
午评：创指大涨逾1%沪指涨0.26%芯片概念上演涨停潮|-|汽车整车、白酒概念、农业服务居板块跌幅榜前列。 热点板块： 芯片概念股上演涨停潮，领涨两市，大唐电信、光力科技、富满电子、康强电子、晶瑞股份、长电科技、欧比特、华虹计通、跃岭股份、江化微|-|证券日报网|-|2019年05月27日|-|https://news.tianyancha.com/detail/ea1370ad1a2ecfc6e89eb3b00b5485c6254383e3.html
超大账户抢筹的50只个股|-|5008万 13 600703 三安光电 10.21 5.69% 4653万 14 600198 大唐电信 13.15 10.04% 4418万 15 002157 正邦科技 16.81|-|证券之星|-|2019年05月27日|-|https://news.tianyancha.com/detail/4ee499f1a9f4c9a05a9c8c0455668161bac12bcc.html
主力重点关注的50只个股|-|4148万 20 300495 美尚生态 14.08 0.00% 4141万 21 600198 大唐电信 13.15 10.04% 4129万 22 002161 远望谷 7.59 10.00%|-|证券之星|-|2019年05月27日|-|https://news.tianyancha.com/detail/2206e5c6d05c4818ec922186057d99e7156f06fd.html
令散户资金惊慌失措的50只个股|-|10 300776 帝尔激光 126.48 8.56% -3262万 11 600198 大唐电信 13.15 10.04% -2966万 12 002161 远望谷 7.59|-|证券之星|-|2019年05月27日|-|https://news.tianyancha.com/detail/7d3dc4cb55de3948fe0860157fccd48d133da5c0.html
两市开盘涨跌互现养殖板块表现强势|-|长电科技等涨停 27日，集成电路板块早盘全线拉升。截至9:40，富满电子、长电科技、晶瑞股份、大唐电信涨停，康强电子、士兰微等涨逾5%。 【相关新闻】 两市融资余额减少42.74亿元|-|中国证券网|-|2019年05月27日|-|https://news.tianyancha.com/detail/585c17ab506d13fb5ac68610e2d0579c3f62f838.html
400亿国产芯片巨头宣布:从美股退市！背后释放什么信号？|-|2004年中芯在美国纽交所和香港联交所同时挂牌上市。2008年，中芯国际引入大唐电信（600198,诊股）作为战略投资者，第一大股东变为国资。 据恒大研究员任泽平老师分析|-|微信公众号|-|2019年05月27日|-|https://news.tianyancha.com/detail/025a1229a724682fe48a0a38aa0c3c5d55d334d3.html
5G概念震荡上扬政策支持助推5G商用|-|截至发稿，跃岭股份、大唐电信、奥维通信、力源信息等涨停，欣天科技涨逾8%，海特高新涨幅超5%。 东北证券指出，上周中国移动股东周年大会上，中国移动董事长杨杰表示|-|证券时报网|-|2019年05月27日|-|https://news.tianyancha.com/detail/7283a77f844077d105469ded96fccc359f34d6af.html
数据复盘｜两市主力资金净流入90亿元逾40亿资金流入电子行业|-|净卖出金额1.56亿元。 热点板块 国产芯片概念再掀涨停潮，智光电气、兴森科技、太极实业、大唐电信、三安光电、台基股份、中海达、江化微、有研新材、富满电子等超过20股涨停。|-|证券时报网|-|2019年05月27日|-|https://news.tianyancha.com/detail/0aa0e9d42e343e2899acbb87c131ca8de4dcbbdc.html
明日股市三大猜想及应对策略-更新中|-|但随着川普释放的达成协议信号，对5G是利好，且加上政策扶持和市场反弹有机会。 推荐关注：大唐电信（600198）、新易盛（300502|-|中国银河证券|-|2019年05月27日|-|https://news.tianyancha.com/detail/1362513886f804ccec7d22dbcad51ddd3c7f7342.html
盘后点评:创指暴涨逾3%沪指涨1.38%行业板块全线上涨|-|热点板块： 芯片概念股上演涨停潮，全天领涨两市，智光电气、华虹计通、兴森科技、跃岭股份、太极实业、大唐电信、三安光电、中海达、光力科技、江化微、有研新材、富满电子等个股涨停。 券商股盘中强势崛起|-|中国银河证券|-|2019年05月27日|-|https://news.tianyancha.com/detail/29656a17b03164b661b3dcf002840d231442cfb9.html
芯片概念大幅拉升机构建议持续关注自主可控|-|截至发稿，大唐电信、光力科技、江化微、富满电子、康强电子、远望谷、聚灿光电、长电科技、欧比特、力源信息、跃岭股份等涨停，华微电子逼近涨停。 在美国将华为列入实体名单后|-|证券时报网|-|2019年05月27日|-|https://news.tianyancha.com/detail/e339112b71d85c4fcffaa64b74d58fe4581d7c6b.html
A股芯片板块强势拉升华为海思Hi1620芯片即将发布|-|大唐电信、富满电子、长电科技、欧比特封涨停，华微电子、士兰微、有研新材、华天科技、太极实业、博创科技、通富微电、海特高新等个股集体拉升。 5月23日|-|格隆汇|-|2019年05月27日|-|https://news.tianyancha.com/detail/2b552402149d788bc3ef60fc3c0b098c8aeea1ed.html
盘后点评:底部区域要差价还是要红利？|-|芯片、半导体、5G等板块进入涨幅前列，智光电气、大唐电信等多只个股涨停，稀土永磁这种中国有资源与加工有产业优势的板块还在继续走强。猪肉板块再次起动|-|中国银河证券|-|2019年05月27日|-|https://news.tianyancha.com/detail/06919e3b80d56abc9c4bc6cc12dd3a2fa2b9de3e.html
A股主要股指临近午间收盘翻红芯片股现涨停潮|-|航天装备等板块涨幅靠前；酿酒、汽车、保险、家电板块表现低迷。芯片概念板块大涨，板块内个股普遍上涨，大唐电信、江化微、光力科技等14股涨停；稀土概念板块表现强劲，有研新材、北矿科技|-|格隆汇|-|2019年05月27日|-|https://news.tianyancha.com/detail/09508d48ace6b5a50265bcf74449daf4a18f6152.html
·大盘分析:反弹尚需量能结构机会增加|-|0.34%）、酒及饮料（0.47%）、中石化糸（0.49%）。 上证A股中，宏达矿业、太极实业、大唐电信、三安光电、中昌数据等31家涨停。 深圳主板中，潍柴重机、南天信息、振华科技、东方钽业|-|中国银河证券|-|2019年05月27日|-|https://news.tianyancha.com/detail/c736b69e131122d1681930bc0612ebde05afc26a.html
沪深两市午后回暖创业板大涨逾3%科技股集体爆发|-|行业板块全线飘红，半导体、畜禽养殖、饲料加工、航天装备等板块大涨。芯片概念板块暴涨，智光电气、大唐电信、士兰微等27股涨停；国产软件、操作系统、卫星导航、猪肉、云计算等概念板块亦大幅上涨。|-|格隆汇|-|2019年05月27日|-|https://news.tianyancha.com/detail/bf967bcfe585842c8965a55c6858a5308e577423.html
27日强势板块分析：芯片概念掀涨停潮券商板块走强|-|芯片概念27日盘中大幅拉升，个股掀涨停潮。截至发稿，智光电气、兴森科技、跃岭股份、太极实业、大唐电信、苏大维格、台基股份、中海达、光力科技、江化微等涨停。 国海证券指出|-|证券时报网|-|2019年05月27日|-|https://news.tianyancha.com/detail/d7cffbcd7f84730320ec74437078496dbdcd3b33.html
高手和普通人的区别，就在破局思维|-|海信、烟台万华、华为、深圳西部人力、顺丰速运、粤海控股、两江控股、天门山旅游、南湖控股、上海圣为、大唐电信、武大卓越、无极限（中国）、中石油、中海油、中国人保、中国人寿、农行总行、招商银行|-|微信公众号|-|2019年05月26日|-|https://news.tianyancha.com/detail/ed1e7acbefaf26f5c273ebe4c24dab7c0df1d8aa.html
是非之外任正非｜华为五月媒体圆桌采访侧记|-|海信、烟台万华、华为、深圳西部人力、顺丰速运、粤海控股、两江控股、天门山旅游、南湖控股、上海圣为、大唐电信、武大卓越、无极限（中国）、中石油、中海油、中国人保、中国人寿、农行总行、招商银行|-|微信公众号|-|2019年05月26日|-|https://news.tianyancha.com/detail/677c0cc3c693be0b6e604a1902e02fe6645510fc.html
领导放狠话了！下周A股要大变天？|-| 如台积电受外力影响不再代工生产海思芯片，中芯可以作为备选方案。 重的是中芯国际第一大股东是大唐电信，国资性质。 保证华为能活着，这就是最大的利好。 非常时期，提前以退为进|-|微信公众号|-|2019年05月26日|-|https://news.tianyancha.com/detail/5ffe5f6902445df19419d78f8dc91840eb958e04.html
周末大事件！“五绝行情”迎来变数，下周A股要大变天？（附点评+策略）|-|如果台积电受外力影响不再代工生产海思芯片，完全有能力接替这一位置。重要的是中芯国际第一大股东是大唐电信，国资性质。非常时期，提前以退为进，不能总是被老特牵着鼻子走。要完全保证华为的大后方|-|微信公众号|-|2019年05月26日|-|https://news.tianyancha.com/detail/9fd061479195058caed40043b01e5fd781b3aa9e.html
无形之手誓死维稳下周有望迎来反弹机会！|-|中内地规模最大、技术最先进的集成电路晶圆代工企业 ，是国产芯片的代表公司之一，其大股东是国资背景的大唐电信。中国芯作为HW芯片供应商之一，此时从美股退市，可谓是 振人心，意义非凡！ 值得注意的是，|-|微信公众号|-|2019年05月26日|-|https://news.tianyancha.com/detail/4d5cacd66d2c88aca901e1895d806f9cd848afcc.html
听&练▷通化事业单位考前积累(5.26)|-|1999年6月29日，中国原邮电部电信科学技术研究院（大唐电信）向ITU提出。TD- SCDMA标准成为第一个由中国提出的、以中国知识产权为主的|-|微信公众号|-|2019年05月26日|-|https://news.tianyancha.com/detail/b93166754972759e11f24e6ecb8994ac8c858274.html
佳鑫科技服务平台2019-05-26|-| 我公司维修微波设备的主要品牌有：哈里斯、爱立信、北京地杰、恒达微波、华为、中兴、阿尔卡特朗讯、大唐电信等等。 ⑶基站动环监控设备维修 动环监控在实现远端监控通信机房的环境|-|微信公众号|-|2019年05月26日|-|https://news.tianyancha.com/detail/dad72138b7948cb10ff244fa4d5985342a1cfcf7.html
5G将至，射频前端腾飞在即|-|运营商以及测试厂商，都在用模拟终端进行5GNR测试。三星、国家仪器以及大唐电信|-|智通财经|-|2019年05月26日|-|https://news.tianyancha.com/detail/f6097553a3fc5df11e2cfe634c9302e5160fbec9.html
当你看透一切（说得太好了）|-|海信、烟台万华、华为、深圳西部人力、顺丰速运、粤海控股、两江控股、天门山旅游、南湖控股、上海圣为、大唐电信、武大卓越、无极限（中国）、中石油、中海油、中国人保、中国人寿、农行总行、招商银行|-|微信公众号|-|2019年05月25日|-|https://news.tianyancha.com/detail/3491e322f1b4185964f306ae6a83b0666714b15f.html
厉害！莆田学院大爆发！连华为、腾讯都来了！|-|涉及集成电路、芯片、模组、结构件、超算中心等领域。同时， 莆市还与华为、腾讯、京东、中电集团、大唐电信等龙头企业开展了合作 。产业的发展离不开人才的支撑，需要大量创新型、复合型|-|微信公众号|-|2019年05月25日|-|https://news.tianyancha.com/detail/0e52bdfdafb539073cfa542a39e7962e09101fdd.html
振奋人心：400亿“中国芯”宣布从美股退市！|-|技术最先进的集成电路晶圆代工企业， 是产芯片的代表公司之一！ 其大股东是国资背景的大唐电信。 其次，华w芯片两大供应商：一个是台湾台积电，一个是大陆中芯国际。 两者还是存在差距的|-|微信公众号|-|2019年05月25日|-|https://news.tianyancha.com/detail/144d9d67b66147812090d8a29786c36e6ea9022d.html
断供华为？联想深夜回应！|-| 2、暗示Polar码*代表国家标准，强行无视数次代表国家标准的大唐电信初期的实际阵营； 3、暗示LDPC码*为高通主导|-|微信公众号|-|2019年05月25日|-|https://news.tianyancha.com/detail/538f2d3ac13bb40af155a9e800c0c1cc6dde567d.html
德鲁克：小型、中型和大型企业，分别需要怎样的管理？|-|海信、烟台万华、华为、深圳西部人力、顺丰速运、粤海控股、两江控股、天门山旅游、南湖控股、上海圣为、大唐电信、武大卓越、无极限（中国）、中石油、中海油、中国人保、中国人寿、农行总行、招商银行|-|微信公众号|-|2019年05月24日|-|https://news.tianyancha.com/detail/f56a06b6a2bb19c4fd9cc733a81fe1265d0c0b40.html
临海82岁阿婆不识“院士”啥名堂,只晓得小儿子又进步了!|-|其中 临籍科学家陈山枝榜上有名 咱们台州人自己的院士 究竟啥来头？？ 一起来仰慕一下 陈枝 现任大唐电信集团高级副总裁、电信科学技术研究院副院长、无线移动通信国家重点实验室主任、中芯国际董事|-|微信公众号|-|2019年05月24日|-|https://news.tianyancha.com/detail/dd68de9174d4f8e9bf50dd3a747db396ebdbc64c.html
5G终端商用序幕拉开，射频前端腾飞在即|-|运营商以及测试厂商，都在用模拟终端进行5GNR测试。三星、国家仪器以及大唐电信|-|微信公众号|-|2019年05月24日|-|https://news.tianyancha.com/detail/dd504541284060aab35895ba8a0b3e5b12b00772.html
上海车展之后看什么？|-|展会加入了更多的智能网联科技元素，中国移动、中国联通、百度、腾讯、滴滴出行、京东、美团点评、浪潮、大唐电信、四维图新、华力创通等移动互联网、通讯、电商、智慧出行企业也加入了参展阵容|-|微信公众号|-|2019年05月24日|-|https://news.tianyancha.com/detail/024328eb28c9d5cf83c45732b9f810fda8229dcf.html
车联网，让无人驾驶渐行渐近|-|福特汽车、英特尔、爱立信、高通、北美松下等16家巨头联合要求美国政府采用C- V2X技术。高通已与大唐电信共同开发基于蜂窝车联网的芯片组，将在2019年支持商业部署。 技产品更加成熟|-|微信公众号|-|2019年05月24日|-|https://news.tianyancha.com/detail/2460eaeec762657cec527276c7b861912b530994.html
【会展预告】智慧交通全球平台—共赴魅力2019亚洲智能交通旗舰展|-|开创智能交通全新格局。华为、海信、上海电科、上海宝康、海康威视、千方、金溢、中国电信、中国通服、大唐电信、英特尔、精英智通、杰瑞电子、36所、摩尔数据、世纪高通、中航电测、上海眼控、南京莱斯|-|微信公众号|-|2019年05月24日|-|https://news.tianyancha.com/detail/bd73d278dd6b8d55f6707ac64704e8cc0d2e4fa2.html
政策大力支持芯片及软件类上市公司业绩表现改善明显|-|15.99倍）、三安光电（16.49倍）、联创光电（17.79倍）、理工环科（18.16倍）、大唐电信（19.14倍）和蓝盾股份（19.67倍）等个股最新动态市盈率均不足20倍|-|中国投资咨询网|-|2019年05月24日|-|https://news.tianyancha.com/detail/e6881e69aaf682b539960f3f3bd6a53317d614a2.html
大唐创新港再次通过中关村创业孵化机构分类评价|-|，大唐创新港作为创新型孵化器再次通过分类评价。 大唐创新港是中国信科集团大唐电信科技股份有限公司旗下专业提供一站式创业孵化服务、资源型产业发展服务的全资子公司|-|微信公众号|-|2019年05月24日|-|https://news.tianyancha.com/detail/e97934fad1baab7b603090f6e5d497bca74b37da.html
11.28亿研发投入开花结果，北汽蓝谷智能驾驶再进一步|-|深度战略合作;11月,作为首批参加V2X技术研发的新能源汽车品牌,北汽新能源以LITE作为演示车型和大唐电信、千方科技组合,与奥迪、宝马、福特等国际知名车企同台演示V2X互联互通功能;紧接着,在201|-|云掌财经|-|2019年05月24日|-|https://news.tianyancha.com/detail/603037c041c54d1f000a5da776dcff0d051ba179.html
一位在《1818黄金眼》做了15年记者的北大毕业生|-|他如今在美国Wesleyan University任教。班长去了大唐电信，"现在是总裁助理，不得了。" 这个一心想当记者的人，职业生涯起步并不顺利。毕业前|-|澎湃新闻网|-|2019年05月24日|-|https://news.tianyancha.com/detail/1fd6221a59ccf759ff62f14bcaa45070aee2c7b9.html
除了稀土，我们还有这一产业优势|-|超图软件、华测导航 中游导航终端：中国卫星、启明信息、同洲电子、烽火电子 下游运营服务：振芯科技、大唐电信、数字政通、湘邮科技 当前沪指继续在2838-2960价格中枢内部震荡运行，量能持续减弱|-|微信公众号|-|2019年05月24日|-|https://news.tianyancha.com/detail/346c1036e39b99b119b2293d44664b16a57dbe3c.html
除了稀土，我们还有这一产业优势|-|超图软件、华测导航 中游导航终端：中国卫星、启明信息、同洲电子、烽火电子 下游运营服务：振芯科技、大唐电信、数字政通、湘邮科技 当前沪指继续在2838-2960价格中枢内部震荡运行，量能持续减弱|-|微信公众号|-|2019年05月24日|-|https://news.tianyancha.com/detail/c89d11921f3c72f8f112dc144d0c483f71f68776.html
为何说智能驾驶“朋友圈”中，北汽新能源是最靓的仔？|-|作为首批参加V2X技术研发的新能源汽车品牌，北汽新能源以LITE作为演示车型和大唐电信、千方科技组合，与奥迪、宝马、福特等国际知名车企同台演示V2X互联互通功能|-|汽车头条|-|2019年05月24日|-|https://news.tianyancha.com/detail/ee07bf82847b968dde8c308e87124b6b5d888b1a.html
2019年5月24日华龙证券投资早报|-|超图软件、华测导航；中游导航终端：中国卫星、启明信息、同洲电子、烽火电子；下游运营服务：振芯科技、大唐电信、数字政通、湘邮科技。 当前沪指继续在2838-2960价格中枢内部震荡运行，量能持续减弱|-|微信公众号|-|2019年05月24日|-|https://news.tianyancha.com/detail/0d4257d1690d8c66736ac1da21f766fd6be18e2b.html
【Hi君读报】请收好这份我国芯片各细分领域龙头名单！|-| 重点上市公司有：紫光国芯、兆易创新（存储器）、汇顶科技、士兰微（IDM）、大唐电信、全志科技、中颖电子（家电MCU、锂电等）、北京君正、艾派克、富瀚微等。 芯片制造领域|-|微信公众号|-|2019年05月24日|-|https://news.tianyancha.com/detail/2c72ba5ef2e1a177d8c43e1db868b4963aded34e.html
深度：市场增长缓慢智能交通遇冷了吗？|-|仅仅几天之后，阿里巴巴ＡｌｉＯＳ又宣布将与英特尔、大唐电信集团展开智能交通－车路协同领域的战略合作。阿里巴巴ＡｌｉＯＳ还提出|-|微信公众号|-|2019年05月24日|-|https://news.tianyancha.com/detail/190a867045a26d214f3e5b5c076ec6812231bfed.html
37家公司扣非净利连亏超10年部分股票从未被ST|-|但股价表现似乎还比较给力。其中，国际实业年内大涨113.51%居首；ST椰岛、国风塑业、大唐电信等50股涨幅超过20%。榜单整体涨幅平均值超过18%，超过大盘同期表现|-|东方财富网|-|2019年05月24日|-|https://news.tianyancha.com/detail/5ca8ab95bc1cfb92cd89e0a220832a4183e124a6.html
集成电路和软件业迎税收利好16只相关概念股3日吸金近5亿元|-|15.99倍）、三安光电（16.49倍）、联创光电（17.79倍）、理工环科（18.16倍）、大唐电信（19.14倍）和蓝盾股份（19.67倍）等个股最新动态市盈率均不足20倍|-|东方财富网|-|2019年05月24日|-|https://news.tianyancha.com/detail/90b9ac7bce48e3e9d1904561108bf0c1c33cd101.html
通信行业科创板专题报告之一:科创板助力产业升级估值体系或将重构|-|信科集团（旗下上市公司包括烽火通信光迅科技、长江通信、理工光科、大唐电信、高鸿股份）、国脉科技、星网锐捷、高新兴、日海智能等; （2|-|中国银河证券|-|2019年05月24日|-|https://news.tianyancha.com/detail/f9ab50cd59aa6029fea2df0ffa38bc3a9ae61e43.html
大国博弈炸出中国最牛街道办，深圳粤海凭什么这么彪悍？|-|海信、烟台万华、华为、深圳西部人力、顺丰速运、粤海控股、两江控股、天门山旅游、南湖控股、上海圣为、大唐电信、武大卓越、无极限（中国）、中石油、中海油、中国人保、中国人寿、农行总行、招商银行|-|微信公众号|-|2019年05月23日|-|https://news.tianyancha.com/detail/494a595c2946a448e1319d67ceee2db74fb59730.html
盘点国产芯片概念股：设计领域排名第一的企业是华为子公司|-|002077）、华胜天成（600410）跌停，中国长城（000066）、韦尔股份（603501）、大唐电信（600198）等也出现大幅下跌。 此前的5月17日|-|澎湃新闻网|-|2019年05月23日|-|https://news.tianyancha.com/detail/95261834a0d6322cc53905ed5a665a2ab36fac88.html
2019年AIIA杯人工智能大赛5G网络应用专项赛开始报名啦|-|新华三集团、思科、科大讯飞、爱立信、诺基亚、Intel、亿阳信通、凯通科技、中兴软创、大唐电信、科大国创、OPEN AI LAB、浪潮集团、北京航空航天大学、网络AI论坛成员单位|-|微信公众号|-|2019年05月23日|-|https://news.tianyancha.com/detail/a7a7b9778af6f644a3f884f431a0dc9c61e27805.html
37家公司扣非净利连亏10年以上，其中竟有股票从未被ST|-|但股价表现似乎还比较给力。其中，国际实业年内大涨113.51%居首；ST椰岛、国风塑业、大唐电信等50股涨幅超过20%。榜单整体涨幅平均值超过18%，超过大盘同期表现|-|中新经纬|-|2019年05月23日|-|https://news.tianyancha.com/detail/0f94bf9f1d07bdb9bf1352e66084dcf84f45c207.html
《专利信息分析人才培训班》完整录取名单（5月28日-31日北京）|-|74| 冯艳| 女| 北京北信源软件股份有限公司 专利负责人| 北京 75| 徐红茹| 女| 大唐电信科技产业集团 主管 | 北京 76| 安京燕| 女| 中石化北京化工研究院/专利主管||-|微信公众号|-|2019年05月23日|-|https://news.tianyancha.com/detail/69e270eb8378ac50c6b866c7f23e3ac98df68b61.html
解析5G机遇与挑战展望科技发展新未来|-|由北京市中小企业公共服务平台指导，大唐电信科技股份有限公司、大唐创新港投资（北京）有限公司主办，中关村一二三工厂，北京恒兴嘉业科技孵化器集团有限公司联合协办的|-|微信公众号|-|2019年05月23日|-|https://news.tianyancha.com/detail/e674e8a6502a8c8ee07c25be4282e1bc2d9771bf.html
